Company,Industry,Symbol,Range,Camarilla H4,Camarilla L4,Day High,Day Low,Day Close,Central Pivot,BC,TC
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,3.5,159.1249969482422,155.27499694824218,160.10000610351562,156.60000610351562,157.1999969482422,157.96666971842447,158.35000610351562,157.58333333333331
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,40,3663.75,3619.75,3675,3635,3641.75,3650.5833333333335,3655,3646.166666666667
Astral Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,62.7000732421875,1954.934991455078,1885.964910888672,1950.050048828125,1887.3499755859375,1920.449951171875,1919.2833251953125,1918.7000122070312,1919.8666381835938
Atul Ltd.,CHEMICALS,ATUL,123.150390625,8952.73271484375,8817.26728515625,8992.150390625,8869,8885,8915.383463541666,8930.5751953125,8900.191731770832
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,19.25,960.9374755859375,939.7624755859375,959.0499877929688,939.7999877929688,950.3499755859375,949.7333170572916,949.4249877929688,950.0416463216145
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,11.5,558.9249755859375,546.2749755859375,562.5,551,552.5999755859375,555.3666585286459,556.75,553.9833170572917
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,40.550048828125,3337.652624511719,3293.047570800781,3347.550048828125,3307,3315.35009765625,3323.300048828125,3327.2750244140625,3319.3250732421875
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,27.75,776.2625,745.7375,765.7999877929688,738.0499877929688,761,754.9499918619791,751.9249877929688,757.9749959309895
BASF India Ltd.,CHEMICALS,BASF,75.449951171875,2637.0475219726563,2554.0525756835937,2650.550048828125,2575.10009765625,2595.550048828125,2607.0667317708335,2612.8250732421875,2601.3083902994795
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,30.1500244140625,1352.6325622558593,1319.4675354003907,1362.25,1332.0999755859375,1336.050048828125,1343.4666748046875,1347.1749877929688,1339.7583618164062
BSE Ltd.,FINANCIAL SERVICES,BSE,37.70001220703125,924.6350311279297,883.1650177001953,917.7000122070312,880,903.9000244140625,900.5333455403646,898.8500061035156,902.2166849772136
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,71,4235.19990234375,4157.09990234375,4249,4178,4196.14990234375,4207.716634114583,4213.5,4201.933268229166
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,4.70001220703125,286.23500061035156,281.0649871826172,287.70001220703125,283,283.6499938964844,284.78333536783856,285.3500061035156,284.2166646321615
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,28.550048828125,1060.5025756835937,1029.0975219726563,1060.4000244140625,1031.8499755859375,1044.800048828125,1045.683349609375,1046.125,1045.24169921875
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,76.05029296875,6117.627465820313,6033.972143554687,6106.85009765625,6030.7998046875,6075.7998046875,6071.14990234375,6068.824951171875,6073.474853515625
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,199.5,12596.324609375,12376.874609375,12520,12320.5,12486.599609375,12442.366536458334,12420.25,12464.483072916668
